,pred,gt,path,Leven_distance
0,企イ重クう雄キ,企イ垂クう継キ,61_train_05000.png,0.286
1,の一制なが,のー制なが,61_train_05003.png,0.200
2,0下6b,0I36,61_train_05009.png,0.750
3,c,こ,79_train_06135.png,1.000
4,会の幾守四っ国,会の後守国っ圏,61_train_05016.png,0.429
5,トd9子,と別9子,61_train_05019.png,0.500
6,I,i,79_train_03752.png,1.000
7,いI26ンが,い126ンが,61_train_05025.png,0.167
8,何厚期9,何厚範5,61_train_05032.png,0.500
9,ろ学,っ学,61_train_05035.png,0.500
10,iO知,l0知,61_train_05036.png,0.667
11,たが日れ統,たが日rれ統,61_train_05038.png,0.167
12,外はリ宿善,外はり指審,61_train_05039.png,0.600
13,チをキたてg,アをキたてg,61_train_05040.png,0.167
14,1,r,79_train_03581.png,1.000
15,軍るブ特し開う,逮もワ将し両う,61_train_05048.png,0.714
16,らダ山た及ウ病,らダ山た及ウ康,61_train_05052.png,0.143
17,そモ,そ,79_train_06920.png,0.500
18,あu1虫な,あa1虫な,61_train_05061.png,0.200
19,起,日,79_train_06709.png,1.000
20,イよ,ス,79_train_04465.png,1.000
21,0イウフ作で,0ずクフ作れ,61_train_05066.png,0.500
22,モす0東収,にア0史則,61_train_05067.png,0.800
23,じ両,し両,61_train_05070.png,0.500
24,若,藩,78_train_06728.png,1.000
25,彼対国,彼対園,61_train_05082.png,0.333
26,る,3,79_train_06263.png,1.000
27,5,ド,79_train_03621.png,1.000
28,抱弘ブ高時イ,抱弘つ高時イ,61_train_05095.png,0.167
29,2v,2f,63_train_04650.png,0.500
30,定放第ルル下,定敵第ルル下,61_train_05107.png,0.167
31,口ンり3ボ,ロンり3ボ,61_train_05108.png,0.200
32,こア場ー,1ギれRが,61_train_05116.png,1.000
33,加林蛇処たで興,加株蛇処たで興,61_train_05117.png,0.143
34,に寺さラは認に,に考をラは関に,61_train_05118.png,0.429
35,並者な神ー,饉者な神ー,61_train_05119.png,0.200
36,9年Oこ,9年て,61_train_05121.png,0.500
37,関る軍,格増,61_train_05123.png,1.000
38,て撃イれそ文対,て率イれそ文料,61_train_05124.png,0.286
39,許,守,77_train_00527.png,1.000
40,敗体す道獣対,敗体移道獣対,61_train_05126.png,0.167
41,launsr,lauR5T,61_train_05128.png,0.500
42,なー日囚者,な一日囚者,61_train_05132.png,0.200
43,変o,変a,61_train_05147.png,0.500
44,起ル,野ル,61_train_05151.png,0.500
45,トてィす,ドてィナ,61_train_05155.png,0.500
46,回のエグ団,回の工グ団,61_train_05159.png,0.200
47,かっわを性に,か1っわを仕に,61_train_05163.png,0.286
48,編護ダ線iいの,帰護タ線iいの,61_train_05164.png,0.286
49,都任的6電ッ立,校国同r年ッ立,61_train_05167.png,0.714
50,白,h,78_train_07382.png,1.000
51,でオそー1キ,てオそ一1キ,61_train_05172.png,0.333
52,1少総う語っ天,1少蕉う語っ天,61_train_05173.png,0.143
53,o,0,79_train_06757.png,1.000
54,安源a,察源a,61_train_05186.png,0.333
55,のイ岐化軍,のイ岐化端,61_train_05190.png,0.200
56,n10S6,D1056,61_train_05192.png,0.400
57,のに会金像敷,のに会金像裏,61_train_05193.png,0.167
58,南コっa,南ゴっa,61_train_05195.png,0.250
59,0,o,79_train_05799.png,1.000
60,川レ,ル,79_train_06541.png,1.000
61,3使イツ,1使イツ,61_train_05203.png,0.250
62,白る音エw会知,白る畜エw会知,61_train_05208.png,0.143
63,会のリで目の,監ルのの,61_train_05209.png,0.833
64,ー年にスッ学ル,ー年にスッ常ル,61_train_05211.png,0.143
65,にO強認召星,に人っ強認召星,61_train_05212.png,0.286
66,督0なン行本,督0なン行ホ,61_train_05214.png,0.167
67,上ー盤た博,上ー魅た特,61_train_05216.png,0.400
68,1治に,をドC,61_train_05219.png,1.000
69,P子9点限,P子9点暇,61_train_05222.png,0.200
70,にデ省文ア,にデ皆文ア,61_train_05223.png,0.200
71,3p6M,3r0Rn,61_train_05224.png,0.800
72,ンを1入計で,ンを1人計で,61_train_05232.png,0.167
73,ゃダ対トけ留家,やダ対トナ留家,61_train_05233.png,0.286
74,ツド馬恒らロ,ツド馬値らロ,61_train_05236.png,0.167
75,内マ伊皇と,内マ伊畠と,61_train_05239.png,0.200
76,製ー好ビ何国,製ー丹ビ何国,61_train_05243.png,0.167
77,V0a,voa,61_train_05247.png,0.667
78,株いンン員,株いルン負,61_train_05253.png,0.400
79,リヤる,リ神ヤる,61_train_05258.png,0.250
80,模け祖育社,機け袖育社,61_train_05263.png,0.400
81,町で伏rは手,的でィ決rは手,61_train_05284.png,0.429
82,鮮,群,68_test_00900.png,1.000
83,頭一の国んス,頭ーの国んス,61_train_05295.png,0.167
84,ダるた新導,ダ行た提得,61_train_05296.png,0.600
85,lマ,マ,78_train_06456.png,0.500
86,橋,罹,75_train_00614.png,1.000
87,士ス,社とス,61_train_05313.png,0.667
88,ニでシ9ンジ,日たにラっ月め,61_train_05315.png,1.000
89,l3いいたル,I3いいたル,61_train_05325.png,0.167
90,甲たうま道,甲たうまュ,61_train_05327.png,0.200
91,は民るるがの,は民るおがの,61_train_05340.png,0.167
92,ィわ,ィ務,61_train_05341.png,0.500
93,しい,い,79_train_06449.png,0.500
94,ベな時公一察,ベな時公察,61_train_05357.png,0.167
95,緑内へン,縁内へン,61_train_05362.png,0.250
96,ル統なれよ改,ル統なトれよ改,61_train_05368.png,0.143
97,つ,っ,79_train_02436.png,1.000
98,布1で究ビ地,布1で究と地,61_train_05372.png,0.167
99,現おー一県年2,現お後消異年る,61_train_05374.png,0.571
100,ポ権い,ホ権い,61_train_05377.png,0.333
101,がり送伝,がり送優,61_train_05380.png,0.250
102,前スよ完にク,前そよ発にク,61_train_05384.png,0.333
103,たコ,たニ,69_train_03545.png,0.500
104,各女9治,各女9始,61_train_05392.png,0.250
105,年っ精な,年っ籍な,61_train_05393.png,0.250
106,施が国,術が国,61_train_05396.png,0.333
107,村年おみ部車と,和パは年慮車と,61_train_05398.png,0.714
108,をしナ町稜8ら,促しナ的をJ域,61_train_05399.png,0.714
109,浜し和全進,浜し柳全進,61_train_05404.png,0.200
110,さ照た,さ熙た,61_train_05405.png,0.333
111,a,ミ,78_train_00834.png,1.000
112,て殺月ら発側3,て殺月ら発偶3,61_train_05417.png,0.143
113,は章実はに十強,はる策はにー流,61_train_05423.png,0.571
114,イ,ィ,79_train_05433.png,1.000
115,遂成点り,遼成点り,61_train_05436.png,0.250
